username,text,profile_pic_url,nationality,country_code,language,age,gender
murodovv.pg,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ 
⠀⠀⠀⠀⠀⠀⠀⣠⣶⣶⣦⡀cr7👑⠀⠀⠀
⠀⠀⠀⠀⠀⠀⢰⣿⣿⣿⣿⣿⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠻⣿⣿⡿⠋⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⣴⣶⣶⣄⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⣸⣿⣿⣿⣿⡄⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⢀⣿⣿⣿⣿⣿⣧ messi 🤤
⠀⠀⠀⠀⣼⣿⣿⣿⡿⣿⣿⣆⠀⠀⠀⠀⠀⠀⣠⣴⣶⣤⡀⠀
⠀⠀⠀⢰⣿⣿⣿⣿⠃⠈⢻⣿⣦⠀⠀⠀⠀⣸⣿⣿⣿⣿⣷⠀
⠀⠀⠀⠘⣿⣿⣿⡏⣴⣿⣷⣝⢿⣷⢀⠀⢀⣿⣿⣿⣿⡿⠋⠀
⠀⠀⠀⠀⢿⣿⣿⡇⢻⣿⣿⣿⣷⣶⣿⣿⣿⣿⣿⣷⠀⠀⠀⠀
⠀⠀⠀⠀⢸⣿⣿⣇⢸⣿⣿⡟⠙⠛⠻⣿⣿⣿⣿⡇⠀⠀⠀⠀
⣴⣿⣿⣿⣿⣿⣿⣿⣠⣿⣿⡇⠀⠀⠀⠉⠛⣽⣿⣇⣀⣀⣀⠀
⠙⠻⠿⠿⠿⠿⠿⠟⠿⠿⠿⠇⠀⠀⠀⠀⠀⠻⠿⠿⠛⠛⠛⠃",https://scontent-man2-1.cdninstagram.com/v/t51.2885-19/458680331_3499716196841302_4000946531438492928_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_cat=110&_nc_ohc=Ss2IcyQ5g7MQ7kNvgHpmQ0I&_nc_gid=aca85b0a40624ac0b39dd7f5853f2210&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYDqI6-UlPupeXzReBtXMWw_UTBFX95cp8gmniFfgOfAAg&oe=671049F2&_nc_sid=10d13b,,,object of type 'NoneType' has no len(),30,Man
yosi_apr27,MasyaAllah ❤️❤️❤️,https://scontent-man2-1.cdninstagram.com/v/t51.2885-19/338927335_9627591613921336_3798195004890983239_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_cat=104&_nc_ohc=wZGREcC4OI4Q7kNvgGNyy-O&_nc_gid=aca85b0a40624ac0b39dd7f5853f2210&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYDNi5YZf01763Szcg7r8Df8KAqktUUF8RE7TplXFm2IVQ&oe=67107981&_nc_sid=10d13b,Indonesia,ID,Indonesian,30,Man
prachi.sony.37,👏👏👏🐐🐐,https://scontent-man2-1.cdninstagram.com/v/t51.2885-19/440214033_367225026339240_3484297663997675041_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_cat=100&_nc_ohc=o_d-_LTrqyYQ7kNvgE2mrC5&_nc_gid=aca85b0a40624ac0b39dd7f5853f2210&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYA6SspOLqctagZegEKcrgFmiyHGDMcLJxY2ACtziVZmtw&oe=67105837&_nc_sid=10d13b,,,object of type 'NoneType' has no len(),30,Woman
g_brans11,What do you think about 2024 memes 90+6=99,https://scontent-man2-1.cdninstagram.com/v/t51.2885-19/436277147_1118654936104671_2551868199629088718_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_cat=103&_nc_ohc=gbXNOLwKTBcQ7kNvgGxxYmR&_nc_gid=aca85b0a40624ac0b39dd7f5853f2210&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYAHwYBgQkT3-eCLKVrgk1g9WgDQjNihnm75qxfQtu-y8w&oe=671060E4&_nc_sid=10d13b,United States,US,English,30,Woman
rhsx_edit,Please please please please please please please please please please @the_ncu_editz_  my channel the Ncu editz follow up,https://scontent-man2-1.cdninstagram.com/v/t51.2885-19/460338157_556586833376805_5485684431578572100_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_cat=109&_nc_ohc=LwN7SJ_zTZQQ7kNvgHgSFXp&_nc_gid=aca85b0a40624ac0b39dd7f5853f2210&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYDPeK1bYWF-cBEWOhnaM2_6J0LbKzK3mnjxpIbIsH9tZA&oe=671043AF&_nc_sid=10d13b,United States,US,English,30,Woman
ha_jaani_na_navaab,Palestine ke liye ye dova karo❤️❤️,https://scontent-man2-1.cdninstagram.com/v/t51.2885-19/453190485_463892866614632_2608269090793206123_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_cat=108&_nc_ohc=y7bVNtzt3nwQ7kNvgGfwLZA&_nc_gid=aca85b0a40624ac0b39dd7f5853f2210&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYAWoA2p1EWjoBy2F-lAQ2V9f2xK1vKEtpvByDLPohbJfw&oe=671062A0&_nc_sid=10d13b,Turkey,,object of type 'NoneType' has no len(),30,Man
gret.a5561,,https://scontent-man2-1.cdninstagram.com/v/t51.2885-19/462907684_507333298869862_1128683321016129985_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_cat=110&_nc_ohc=PPf7yOd6RNIQ7kNvgG56Zo6&_nc_gid=aca85b0a40624ac0b39dd7f5853f2210&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYBeyUbzsm2DcBDfF-7CLfgFs1_NY2vUc74RHkRh95kOPw&oe=67106E4E&_nc_sid=10d13b,,,object of type 'NoneType' has no len(),30,Woman
mutwalibimabala,❤️❤️😍👑,https://scontent-man2-1.cdninstagram.com/v/t51.2885-19/461502253_836887074929481_7936818025885704030_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_cat=109&_nc_ohc=fmrTmYXS2lUQ7kNvgFK8RTd&_nc_gid=aca85b0a40624ac0b39dd7f5853f2210&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYB4KpbfW7vrvWcfbB4k6jYdA9EZ0nvDxanN8DrLaIfMHw&oe=671046E7&_nc_sid=10d13b,,,object of type 'NoneType' has no len(),26,Man
norma.tov06,Uzbek sila,https://scontent-man2-1.cdninstagram.com/v/t51.2885-19/453524725_504845661901490_8236111024167192271_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_cat=102&_nc_ohc=Hd9FF9HkaAcQ7kNvgE31U14&_nc_gid=aca85b0a40624ac0b39dd7f5853f2210&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYAu1XmmmnKdI6pAb7TvwMvLeh79kCYpT8kZnw8i5pf8gw&oe=67105146&_nc_sid=10d13b,Indonesia,ID,Indonesian,30,Woman
___.anahittt.___,👎🏻,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-19/461312260_881364743588860_8540235927564625922_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=2txHkw_fS7UQ7kNvgG0yPzu&_nc_gid=2f721719004a456da930300d645c20ea&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYAkAOy9DIsZYhXQGCDUKaUMD337fP6MO5oHEvWjUwqDsQ&oe=671066DC&_nc_sid=10d13b,,,object of type 'NoneType' has no len(),30,Woman
