username,text,profile_pic_url,nationality
zhakira____015,Helloo Cristiano 07 tank you🇵🇹🇵🇹🇵🇹🇵🇹,https://instagram.fyto2-1.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=instagram.fyto2-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=nZJuW2sO_90Q7kNvgEwc-bZ&edm=AId3EpQBAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-5&oh=00_AYD2pn7L9H2iYzmuMpbYkypZVREN8svkUxrFXJwqWlFUdw&oe=66DE21CF&_nc_sid=f5838a,Finland
deryashhn1,"Why didn't anyone hear my voice, please I want to live, I have throat cancer, I'm pregnant, I've been asking for help for months, I've come to the last stage, please support, I want to live, please be an amaliyat in Turkey, it's very expensive, please I want help from you, no one has heard my voice, I've been asking for help for months, I've come to the last stage, please support",https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/458290278_521634230410401_7903786740545559960_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=109&_nc_ohc=yJxAPUVujE0Q7kNvgEp2qN6&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYC_6LmKP8u5Bg-pNog9sE8L4AfTY-tocRpXg2hviGKgLg&oe=66DE1668&_nc_sid=10d13b,United States
dipama.nestor,Cool,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/454062444_1476458683236432_9201599935979398844_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=100&_nc_ohc=aGNkGUwvHqoQ7kNvgEA8pkg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYCA5DVf-Y7wfTRdA3iO55jsC9pN9ZgBmRP8kAX_tymODQ&oe=66DE0907&_nc_sid=10d13b,United States
jexd._7,رونالدو البطل🇵🇹🇵🇹🇵🇹🇵🇹👑,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-19/455508008_464738063044679_2844826960004169165_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=111&_nc_ohc=fPQ_CHRwyCQQ7kNvgG8Eh1d&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYDF6kuU5eQd-g4lmhhC2wU82x96el-uzmp23wxpp9Po9w&oe=66DE2B56&_nc_sid=10d13b,Saudi Arabia
time_lapse_edition,Wow,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-19/458354838_1524147011829870_4331273015919518177_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=gNaAQEZ34EkQ7kNvgFHox_o&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYAqFzFnLzoKfasBi-zgXA96cEyJGdggSzzsDw_Kbk857Q&oe=66DE25C4&_nc_sid=10d13b,Poland
cristopher_lucas789,Te amo cris❤️🔥🇵🇹,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/446203844_970164151104793_3587555097336461347_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=6vW-AZE8nxcQ7kNvgFvAQN5&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYCZARohUB3Jv1jL4bH_suh_wTiCgTTVuoIxtkM94uwfMg&oe=66DE1B7B&_nc_sid=10d13b,Portugal
wesley_sts_2024,Goat faz 3 gols🇵🇹🐐,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-19/457016209_1064415861769604_5088169597274896074_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=RELo4v5OrDIQ7kNvgEmqT9z&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYDdWXmMNub7ysSw1-F3RNXOQH9Zhti-r6S0yLTjF38LAQ&oe=66DE31EF&_nc_sid=10d13b,Hungary
gsjjfxw,"Так ты метист на половину португалец,  на половину мой)❤️❤️",https://instagram.fplu33-1.fna.fbcdn.net/v/t51.2885-19/454822425_1682166959186228_5036880718072117375_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fplu33-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=yQ06p1fGK6AQ7kNvgHSuEuf&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYDQJnm0jjqd7xBpXsT6jPxX88dbMAtz6duMsey38GNbvA&oe=66DE2914&_nc_sid=10d13b,Russia
danilukumay20gmail.com8,🔥,https://instagram.fplu33-1.fna.fbcdn.net/v/t51.2885-19/457863151_1444572279448242_1302129304115872877_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fplu33-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=blxwQA1MzxAQ7kNvgHfcjxX&_nc_gid=cb456a7f8c924d2b8e9e3b63c45abeeb&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYBf6ujj1ja3nT4SyTyoQVvTjtspCLWc2zON-_vvjxJk6g&oe=66DE07F5&_nc_sid=10d13b,
reel10b,😍😍,https://instagram.fplu33-1.fna.fbcdn.net/v/t51.2885-19/457130827_317696074702625_2523334425724216372_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fplu33-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=oQ1VDbVOtmIQ7kNvgFlTY9z&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYCqcqolX-uxDQVVpe6I1HxuG7LK2QIS7KMy3aQglrNoSg&oe=66DE134E&_nc_sid=10d13b,
geladzegabriel,I Wish u will reply one day 🐐🐐❤️,https://instagram.fplu33-1.fna.fbcdn.net/v/t51.2885-19/405198201_932720611704418_4550258987691017197_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fplu33-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=ACloy08DS18Q7kNvgEYpyDj&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYBBBTjSwc9Z2wu7agZZk5R0NdpDotkvm3EIJV4D71dBVw&oe=66DE3A34&_nc_sid=10d13b,United States
musarashford8,Cristiano league A K A Champion league,https://instagram.fplu33-1.fna.fbcdn.net/v/t51.2885-19/453713856_3841988269457411_6797746066875658459_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fplu33-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=ijOcmkCjsVAQ7kNvgGevqnj&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYB4gf6vdVZjfCnkNQg-uVJkrmRscNzDJCKoWZsZQHuihQ&oe=66DE0B81&_nc_sid=10d13b,United States
gabenoboi,👏,https://instagram.fplu33-1.fna.fbcdn.net/v/t51.2885-19/458371282_876306157202059_4668158897985773748_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fplu33-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=sad6hvps4JcQ7kNvgFTHCD-&_nc_gid=cb456a7f8c924d2b8e9e3b63c45abeeb&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYA6nJ7bbpnz4ND4sY9sA0xqdJNfNAA7KhxmnkVY-EwR1g&oe=66DE0DFD&_nc_sid=10d13b,
